day,week,first_day_of_week,last_day_of_week
2022-01-03,2022_01,2022-01-03,2022-01-09
2022-01-04,2022_01,2022-01-03,2022-01-09
2022-01-05,2022_01,2022-01-03,2022-01-09
2022-01-06,2022_01,2022-01-03,2022-01-09
2022-01-07,2022_01,2022-01-03,2022-01-09
2022-01-08,2022_01,2022-01-03,2022-01-09
2022-01-09,2022_01,2022-01-03,2022-01-09
2022-01-10,2022_02,2022-01-10,2022-01-16
2022-01-11,2022_02,2022-01-10,2022-01-16
2022-01-12,2022_02,2022-01-10,2022-01-16
2022-01-13,2022_02,2022-01-10,2022-01-16
2022-01-14,2022_02,2022-01-10,2022-01-16
2022-01-15,2022_02,2022-01-10,2022-01-16
2022-01-16,2022_02,2022-01-10,2022-01-16
2022-01-17,2022_03,2022-01-17,2022-01-23
2022-01-18,2022_03,2022-01-17,2022-01-23
2022-01-19,2022_03,2022-01-17,2022-01-23
2022-01-20,2022_03,2022-01-17,2022-01-23
2022-01-21,2022_03,2022-01-17,2022-01-23
2022-01-22,2022_03,2022-01-17,2022-01-23
2022-01-23,2022_03,2022-01-17,2022-01-23
2022-01-24,2022_04,2022-01-24,2022-01-30
2022-01-25,2022_04,2022-01-24,2022-01-30
2022-01-26,2022_04,2022-01-24,2022-01-30
2022-01-27,2022_04,2022-01-24,2022-01-30
2022-01-28,2022_04,2022-01-24,2022-01-30
2022-01-29,2022_04,2022-01-24,2022-01-30
2022-01-30,2022_04,2022-01-24,2022-01-30
2022-01-31,2022_05,2022-01-31,2022-02-06
2022-02-01,2022_05,2022-01-31,2022-02-06
2022-02-02,2022_05,2022-01-31,2022-02-06
2022-02-03,2022_05,2022-01-31,2022-02-06
2022-02-04,2022_05,2022-01-31,2022-02-06
2022-02-05,2022_05,2022-01-31,2022-02-06
2022-02-06,2022_05,2022-01-31,2022-02-06
2022-02-07,2022_06,2022-02-07,2022-02-13
2022-02-08,2022_06,2022-02-07,2022-02-13
2022-02-09,2022_06,2022-02-07,2022-02-13
2022-02-10,2022_06,2022-02-07,2022-02-13
2022-02-11,2022_06,2022-02-07,2022-02-13
2022-02-12,2022_06,2022-02-07,2022-02-13
2022-02-13,2022_06,2022-02-07,2022-02-13
2022-02-14,2022_07,2022-02-14,2022-02-20
2022-02-15,2022_07,2022-02-14,2022-02-20
2022-02-16,2022_07,2022-02-14,2022-02-20
2022-02-17,2022_07,2022-02-14,2022-02-20
2022-02-18,2022_07,2022-02-14,2022-02-20
2022-02-19,2022_07,2022-02-14,2022-02-20
2022-02-20,2022_07,2022-02-14,2022-02-20
2022-02-21,2022_08,2022-02-21,2022-02-27
2022-02-22,2022_08,2022-02-21,2022-02-27
2022-02-23,2022_08,2022-02-21,2022-02-27
2022-02-24,2022_08,2022-02-21,2022-02-27
2022-02-25,2022_08,2022-02-21,2022-02-27
2022-02-26,2022_08,2022-02-21,2022-02-27
2022-02-27,2022_08,2022-02-21,2022-02-27
2022-02-28,2022_09,2022-02-28,2022-03-06
2022-03-01,2022_09,2022-02-28,2022-03-06
2022-03-02,2022_09,2022-02-28,2022-03-06
2022-03-03,2022_09,2022-02-28,2022-03-06
2022-03-04,2022_09,2022-02-28,2022-03-06
2022-03-05,2022_09,2022-02-28,2022-03-06
2022-03-06,2022_09,2022-02-28,2022-03-06
2022-03-07,2022_10,2022-03-07,2022-03-13
2022-03-08,2022_10,2022-03-07,2022-03-13
2022-03-09,2022_10,2022-03-07,2022-03-13
2022-03-10,2022_10,2022-03-07,2022-03-13
2022-03-11,2022_10,2022-03-07,2022-03-13
2022-03-12,2022_10,2022-03-07,2022-03-13
2022-03-13,2022_10,2022-03-07,2022-03-13
2022-03-14,2022_11,2022-03-14,2022-03-20
2022-03-15,2022_11,2022-03-14,2022-03-20
2022-03-16,2022_11,2022-03-14,2022-03-20
2022-03-17,2022_11,2022-03-14,2022-03-20
2022-03-18,2022_11,2022-03-14,2022-03-20
2022-03-19,2022_11,2022-03-14,2022-03-20
2022-03-20,2022_11,2022-03-14,2022-03-20
2022-03-21,2022_12,2022-03-21,2022-03-27
2022-03-22,2022_12,2022-03-21,2022-03-27
2022-03-23,2022_12,2022-03-21,2022-03-27
2022-03-24,2022_12,2022-03-21,2022-03-27
2022-03-25,2022_12,2022-03-21,2022-03-27
2022-03-26,2022_12,2022-03-21,2022-03-27
2022-03-27,2022_12,2022-03-21,2022-03-27
2022-03-28,2022_13,2022-03-28,2022-04-03
2022-03-29,2022_13,2022-03-28,2022-04-03
2022-03-30,2022_13,2022-03-28,2022-04-03
2022-03-31,2022_13,2022-03-28,2022-04-03
2022-04-01,2022_13,2022-03-28,2022-04-03
2022-04-02,2022_13,2022-03-28,2022-04-03
2022-04-03,2022_13,2022-03-28,2022-04-03
2022-04-04,2022_14,2022-04-04,2022-04-10
2022-04-05,2022_14,2022-04-04,2022-04-10
